ofac_id,grb_id,Type,Name,name_matches,atleast_1_date_of_births_matches,atleast_1_aliases_matches,atleast_1_id_numbers_matches
8184,8245,Individual,Jawhar Majid AL-DURI,true,true,,
8185,8246,Individual,Nidal AL-RABI'I,true,true,,
8186,8248,Individual,Ali Barzan Ibrahim Hasan AL-TIKRITI,true,true,,
8187,8247,Individual,Ali Saddam Hussein AL-TIKRITI,true,false,false,
8188,8249,Individual,Hala Saddam Hussein AL-TIKRITI,true,false,,
8189,8250,Individual,Khawla Barzan Ibrahim Hasan AL-TIKRITI,true,true,,
8190,8251,Individual,Mohammad Barzan Ibrahim Hasan AL-TIKRITI,true,true,,
8191,8252,Individual,Noor Barzan Ibrahim Hasan AL-TIKRITI,true,true,,
8192,8253,Individual,Raghad Saddam Hussein AL-TIKRITI,true,false,,
8193,8254,Individual,Rana Saddam Hussein AL-TIKRITI,true,false,,
8194,8255,Individual,Saja Barzan Ibrahim Hasan AL-TIKRITI,true,true,,
8195,8256,Individual,Thoraya Barzan Ibrahim Hasan AL-TIKRITI,true,true,,
8196,8257,Individual,Intissar AL-UBAYDI,true,false,,
8197,8258,Individual,Samira SHAHBANDAR,true,false,false,
8198,8259,Individual,Sajida Khayrallah TILFAH,true,false,,
8210,8276,Entity,AL WASEL AND BABEL GENERAL TRADING LLC,true,,,
8213,8282,Entity,AVIATRANS ANSTALT,true,,false,
8214,8283,Entity,LOGARCHEO S.A.,true,,false,false
8220,8352,Individual,Kamel DJERMANE,true,false,false,
8225,8360,Entity,AL FURQAN,true,,false,
8230,8383,Individual,Adib SHABAN,false,false,true,
8231,8384,Individual,Roodi SLEWA,true,,false,
8264,8425,Individual,Hassan Abdullah Hersi AL-TURKI,true,true,false,
8405,7818,Entity,T.M.G. ENGINEERING LIMITED,true,,,
8860,8523,Individual,Muhsin AL-FADHLI,false,true,false,true
8883,8681,Individual,Muhammad Yunis AHMAD,true,false,false,
8885,8635,Individual,Abu RUSDAN,true,true,false,false
9329,8693,Individual,Yasir Sabawi Ibrahim Hasan AL-TIKRITI,true,true,false,true
9330,8694,Individual,Omar Sabawi Ibrahim Hasan AL-TIKRITI,true,true,false,true
9331,8695,Individual,Ayman Sabawi Ibrahim Hasan AL-TIKRITI,true,true,false,
